__time,/mpc/computation/data,/mpc/horizon_prediction/data,/state/odom_pose/orientation/pitch,/state/odom_pose/orientation/roll,/state/odom_pose/orientation/w,/state/odom_pose/orientation/x,/state/odom_pose/orientation/y,/state/odom_pose/orientation/yaw,/state/odom_pose/orientation/z,/state/odom_pose/position/x,/state/odom_pose/position/y,/state/odom_pose/position/z,/state/ref_pose/orientation/pitch,/state/ref_pose/orientation/roll,/state/ref_pose/orientation/w,/state/ref_pose/orientation/x,/state/ref_pose/orientation/y,/state/ref_pose/orientation/yaw,/state/ref_pose/orientation/z,/state/ref_pose/position/x,/state/ref_pose/position/y,/state/ref_pose/position/z,/state/ref_twist/angular/x,/state/ref_twist/angular/y,/state/ref_twist/angular/z,/state/ref_twist/linear/x,/state/ref_twist/linear/y,/state/ref_twist/linear/z
537.869000,181637358.000000000,8.000000000,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.885864541,-1.974715907,-0.494814061,0.000000000,0.000000000,0.000000000,0.000000000,1.197841736,0.000000000,0.000000000
537.872000,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.899200969,-2.177533849,-0.548602913,0.000000000,,,,,,,,,,,,,,,,
538.028000,,8.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
538.029000,249250535.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.908629364,-2.359461446,-0.590643142,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.898661054,-2.208918570,-0.555220283,0.000000000,0.000000000,0.000000000,0.000000000,1.162187851,0.000000000,0.000000000
538.146000,190334036.000000000,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.912151169,-2.476167384,-0.617403669,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.903352226,-2.317708232,-0.581755865,0.000000000,0.000000000,0.000000000,0.000000000,1.198913511,0.000000000,0.000000000
538.249000,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.907422371,-2.469463795,-0.620745635,0.000000000,0.000000000,0.000000000,0.000000000,1.165221785,0.000000000,0.000000000
538.250000,192879215.000000000,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.916564979,-2.613495910,-0.648297665,0.000000000,,,,,,,,,,,,,,,,
538.339000,178083797.000000000,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.918835667,-2.704815534,-0.668673311,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.911566746,-2.592919638,-0.650502575,0.000000000,0.000000000,0.000000000,0.000000000,1.163184711,0.000000000,0.000000000
538.435000,167283795.000000000,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.921312075,-2.831487454,-0.696685497,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.914429541,-2.719663766,-0.680975543,0.000000000,0.000000000,0.000000000,0.000000000,1.173547439,0.000000000,0.000000000
538.567000,,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.927050522,-2.980716703,-0.728709200,0.000000000,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.171170760,0.000000000,0.000000000
538.568000,233102841.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
538.573000,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.916769968,-2.829018959,-0.705871984,0.000000000,,,,,,
538.656000,169263082.000000000,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.926138920,-3.083343040,-0.751226109,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.923865662,-2.958842066,-0.731337709,0.000000000,0.000000000,0.000000000,0.000000000,1.168259015,0.000000000,0.000000000
538.750000,168258678.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.925438123,-3.186596633,-0.773845348,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.922407311,-3.071691879,-0.757170986,0.000000000,0.000000000,0.000000000,0.000000000,1.163841926,0.000000000,0.000000000
538.751000,,8.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
538.843000,170614189.000000000,8.000000000,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.922091136,-3.192215497,-0.782166331,0.000000000,,,,,,
538.844000,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.924167073,-3.302425368,-0.799548376,0.000000000,,,,,,,,,,,,,,,,
538.845000,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.182002645,0.000000000,0.000000000
538.959000,,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.918672550,-3.428220181,-0.828560988,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.920705938,-3.308989297,-0.807489489,0.000000000,0.000000000,0.000000000,0.000000000,1.172198884,0.000000000,0.000000000
538.961000,211461217.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
539.051000,173685311.000000000,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.171656059,0.000000000,0.000000000
539.052000,,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.913487836,-3.542093712,-0.856198432,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.917119614,-3.425619037,-0.832437179,0.000000000,,,,,,
539.148000,,8.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,
539.149000,159593864.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.906950760,-3.644548565,-0.881469099,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.912211524,-3.540023006,-0.859238295,0.000000000,0.000000000,0.000000000,0.000000000,1.162289600,0.000000000,0.000000000
539.247000,172825092.000000000,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.901722111,-3.759015891,-0.910267421,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.904500388,-3.653922854,-0.885678613,0.000000000,0.000000000,0.000000000,0.000000000,1.170717768,0.000000000,0.000000000
539.376000,,8.000000000,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.899726374,-3.768962401,-0.912966160,0.000000000,0.000000000,0.000000000,0.000000000,1.172991107,0.000000000,0.000000000
539.377000,217267466.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.889776134,-3.906604012,-0.948802591,0.000000000,,,,,,,,,,,,,,,,
539.391000,21103917.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
539.514000,161971419.000000000,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.896093246,-4.066506254,-0.988712190,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.887209894,-3.994998169,-0.970098449,0.000000000,,,,,,
539.515000,,,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.197460087,0.000000000,0.000000000
539.616000,169993552.000000000,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.906642173,-4.180145578,-1.014306992,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.896672324,-4.109747834,-0.997820840,0.000000000,0.000000000,0.000000000,0.000000000,1.148542107,0.000000000,0.000000000
539.733000,176337856.000000000,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.916744547,-4.315909648,-1.044282873,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.906213008,-4.221830044,-1.022749058,0.000000000,0.000000000,0.000000000,0.000000000,1.135686103,0.000000000,0.000000000
539.840000,211669741.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.917231219,-4.441354787,-1.073024155,0.000000000,,,,,,,,,,,,,,,,
539.841000,,8.000000000,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.915467062,-4.335850771,-1.047339419,0.000000000,0.000000000,0.000000000,0.000000000,1.180426331,0.000000000,0.000000000
539.957000,192029634.000000000,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.918156718,-4.567798482,-1.101674427,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.916023425,-4.450684519,-1.074194395,0.000000000,0.000000000,0.000000000,0.000000000,1.167737557,0.000000000,0.000000000
540.070000,187149063.000000000,9.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.899947083,-4.691102053,-1.134517639,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.918499722,-4.565933583,-1.100194587,0.000000000,0.000000000,0.000000000,0.000000000,1.185056670,0.000000000,0.000000000
540.202000,210254707.000000000,9.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.875109248,-4.846809047,-1.180100858,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.885324228,-4.790003376,-1.161698830,0.000000000,0.000000000,0.000000000,0.000000000,1.173286965,0.000000000,0.000000000
540.361000,253499232.000000000,9.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.886645891,-5.027269153,-1.226724991,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.868156534,-4.900229650,-1.195743217,0.000000000,0.000000000,0.000000000,0.000000000,1.174716981,0.000000000,0.000000000
540.465000,,8.000000000,,,,,,,,,,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.887194104,-5.015748575,-1.223817942,0.000000000,0.000000000,0.000000000,0.000000000,1.133132356,0.000000000,0.000000000
540.466000,182934050.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.874024778,-5.128241251,-1.256534819,0.000000000,,,,,,,,,,,,,,,,
540.558000,,8.000000000,,,,,,,,,,,,,,,,,,,,,0.000000000,0.000000000,0.000000000,1.181134319,0.000000000,0.000000000
540.559000,172293767.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.853084897,-5.240148489,-1.292874576,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,3.141592654,-2.874874504,-5.128022685,-1.256148013,0.000000000,,,,,,
